interval,rtt
130000000,47156835
130000000,2813177
130000000,95893407
130000000,3118428
130000000,141764462
130000000,11633413
130000000,87441624
130000000,2781121
130000000,131042063
130000000,3251806
130000000,79470331
130000000,2996130
130000000,122535317
130000000,3764582
130000000,69184929
130000000,3534457
130000000,116773472
130000000,2834927
130000000,58475924
130000000,3250919
130000000,107652161
130000000,3003797
130000000,153411475
130000000,23290347
130000000,96246681
130000000,2707345
130000000,41608317
130000000,2918653
130000000,89140547
130000000,2723441
130000000,135104221
130000000,5004104
130000000,80652482
130000000,2478730
130000000,132926783
130000000,2856865
130000000,70689880
130000000,2555618
130000000,120648458
130000000,2681621
130000000,62828867
130000000,2968169
130000000,110185535
130000000,2828593
130000000,55615627
130000000,2809454
130000000,105035712
130000000,3224110
130000000,47675150
130000000,2725103
130000000,95515697
130000000,4640971
130000000,38086204
130000000,2821400
130000000,2565483
130000000,2808606
130000000,132831349
130000000,2769178
130000000,76666231
130000000,3025782
130000000,123856574
130000000,2396552
130000000,67038614
130000000,2683755
130000000,116694960
130000000,3245548
130000000,61593328
130000000,3616260
130000000,117904480
130000000,2714932
130000000,3325642
130000000,125731562
130000000,2646309
130000000,69218142
130000000,3051306
130000000,120715302
130000000,2842131
130000000,63217414
130000000,2866616
130000000,110140864
130000000,2912627
130000000,157363044
130000000,27252672
130000000,100854917
130000000,2674800
130000000,46987745
130000000,2685020
130000000,91662622
130000000,2292764
130000000,140698992
130000000,10592230
130000000,83073658
130000000,2604166
130000000,130687696
130000000,2387285
130000000,73907024
130000000,2743307
130000000,121629666
130000000,2919218
130000000,67329099
