interval,rtt
120000,57440
120000,2844
120000,2921
120000,4369
120000,2862
120000,4705
120000,4313
120000,134595
120000,14526
120000,101526
120000,8528
120000,63198
120000,3020
120000,131285
120000,11135
120000,97383
120000,2610
120000,60650
120000,2857
120000,133541
120000,13378
120000,91523
120000,2737
120000,57054
120000,2863
120000,126432
120000,6332
120000,189647
120000,69465
120000,2902
120000,3472
120000,120485
120000,4680
120000,186691
120000,66513
120000,4167
120000,136729
120000,16559
120000,99257
120000,2780
120000,163591
120000,43362
120000,2943
120000,2877
120000,200869
120000,80670
120000,2742
120000,2953
120000,127781
120000,7707
120000,90496
120000,2499
120000,55579
120000,2995
120000,121895
120000,3498
120000,83565
120000,2882
120000,51418
120000,3107
120000,220064
120000,99891
120000,2801
120000,3517
120000,46119
120000,2811
120000,111839
120000,4483
120000,74626
120000,2785
120000,43013
120000,4906
120000,107169
120000,2883
120000,70753
120000,4865
120000,138863
120000,18796
120000,3441
120000,87683
120000,5100
120000,48202
120000,2885
120000,117540
120000,5826
120000,80775
120000,2482
120000,48284
120000,5641
120000,216097
120000,96020
120000,2741
120000,60492
120000,3745
120000,130485
120000,10388
120000,90436
120000,3036
120000,159295
120000,39214
120000,2731
120000,105886
120000,3364
120000,71245
120000,3015
120000,137300
120000,17216
120000,100939
120000,5202
120000,66213
120000,3421
120000,132205
120000,12119
120000,94899
120000,4918
120000,170404
120000,50326
120000,2752
120000,110946
120000,2613
120000,74003
120000,3006
120000,143514
120000,23439
120000,2984
120000,116100
120000,7202
120000,157470
120000,37379
120000,3242
120000,105977
120000,3090
120000,67101
120000,2957
120000,3903
120000,3825
120000,200776
120000,80732
120000,4724
120000,45359
120000,3066
120000,113038
120000,3658
120000,76337
120000,3135
120000,42830
120000,2944
120000,108520
120000,2717
120000,73046
120000,3219
120000,143665
120000,23593
120000,2907
120000,86804
120000,2804
120000,159129
120000,39065
120000,4863
120000,104115
120000,2887
120000,68618
120000,3578
120000,133270
120000,13181
120000,98669
120000,6566
120000,164823
120000,44646
120000,3535
120000,213601
120000,93416
120000,6468
120000,57701
120000,3130
120000,124737
120000,4573
120000,88595
120000,2864
120000,51828
120000,2793
120000,122295
120000,2113
120000,82880
120000,2933
120000,50053
120000,4483
120000,3093
120000,97200
120000,5104
120000,61581
120000,3337
120000,128287
120000,8089
120000,91451
120000,2685
120000,56921
120000,2690
120000,126573
120000,6455
120000,90268
120000,6163
120000,54084
120000,3136
120000,125070
120000,4897
120000,83726
120000,2920
120000,50497
120000,5211
120000,116090
120000,2811
120000,78121
120000,5130
120000,47303
120000,2738
120000,113331
120000,4415
120000,74076
120000,2959
120000,39467
120000,4877
120000,212186
120000,92017
120000,2736
120000,3151
120000,145547
120000,25451
120000,3089
120000,86286
120000,2841
120000,155492
120000,35337
120000,3666
120000,201628
120000,81465
120000,2883
120000,47021
120000,3534
120000,111889
120000,4748
120000,74927
120000,2820
120000,40241
120000,4670
120000,110727
120000,3573
120000,71647
120000,4715
120000,139975
120000,19808
120000,3312
120000,86557
120000,3840
120000,157495
120000,37318
120000,3211
120000,102600
120000,2725
120000,61953
120000,3070
120000,133652
120000,13494
120000,92984
120000,4617
120000,59607
120000,2947
120000,128769
120000,8690
120000,91554
120000,2830
120000,56614
120000,3060
120000,125299
120000,5199
120000,85920
120000,2562
120000,155012
120000,34941
120000,5280
120000,99602
120000,2450
120000,65223
120000,3006
120000,133015
120000,12849
120000,95326
120000,2834
120000,59870
120000,3980
120000,129840
120000,9693
120000,195377
120000,75199
120000,2961
120000,143907
120000,23813
120000,2890
120000,191448
120000,71273
120000,3176
120000,136609
120000,16505
120000,99521
120000,3890
120000,65898
120000,2448
120000,134885
120000,14775
120000,95700
120000,3149
120000,3711
120000,48065
120000,11281
120000,114470
120000,2532
120000,72980
120000,3133
120000,142418
120000,22221
120000,2974
120000,89307
120000,4914
120000,53345
120000,3210
120000,120366
120000,4327
120000,86418
120000,3157
120000,48133
120000,5862
120000,2670
120000,101788
120000,3384
120000,64778
120000,3144
120000,131605
120000,11440
120000,196068
120000,75923
120000,6141
120000,141756
120000,21705
120000,107135
120000,2806
120000,73120
120000,2968
120000,139127
120000,18968
120000,3700
120000,88843
120000,2827
120000,50146
120000,2889
120000,117794
120000,5314
120000,183221
120000,63021
120000,2778
120000,131274
120000,11078
120000,198618
120000,78505
120000,2970
120000,40116
120000,4836
120000,211025
120000,90859
120000,2756
120000,52919
120000,4900
120000,122205
120000,2038
120000,188551
120000,68389
120000,2556
120000,138908
120000,18758
120000,3677
120000,80323
120000,2740
120000,150469
120000,30271
120000,2888
120000,94555
120000,2839
120000,59012
120000,2955
120000,126976
120000,6787
120000,88696
120000,2867
120000,57280
120000,2912
120000,123144
120000,3036
120000,84651
120000,4714
120000,51443
120000,2920
120000,120549
120000,3203
120000,81441
120000,2912
120000,46687
120000,4846
120000,113463
120000,2794
120000,22688
120000,3073
120000,4643
120000,125463
120000,5370
120000,4678
120000,3011
120000,161514
120000,41420
120000,3009
120000,109676
120000,2498
120000,174201
120000,54095
120000,2924
120000,119605
120000,2823
120000,84240
120000,2819
120000,151693
120000,31604
120000,2799
120000,97839
120000,3051
120000,62902
120000,2774
120000,130139
120000,10044
120000,93768
120000,6048
120000,58463
120000,4008
120000,124085
120000,3990
120000,89542
120000,3281
120000,52867
120000,2924
120000,121788
120000,4006
120000,85513
120000,2877
120000,52045
120000,2855
120000,115347
120000,3509
120000,80515
120000,3050
120000,45234
120000,3812
120000,113993
120000,3296
120000,179516
120000,59425
120000,5290
120000,126417
120000,6335
120000,89516
120000,3028
120000,57766
120000,3077
120000,15297
120000,117958
120000,3005
120000,68707
120000,2896
120000,140028
120000,19855
120000,3077
120000,81651
120000,2964
120000,150951
120000,30786
120000,2963
120000,3229
120000,4622
120000,161154
120000,40987
120000,4453
120000,210970
120000,90801
120000,2975
120000,54476
120000,3085
120000,121213
120000,2253
120000,84771
120000,3122
120000,155460
120000,35285
120000,3239
120000,203575
120000,83501
120000,2634
120000,47953
120000,2651
120000,114286
120000,2564
120000,4080
120000,63795
120000,2991
120000,126978
120000,6816
120000,197154
120000,76997
120000,3982
120000,142382
120000,22209
120000,3253
120000,89279
120000,4021
120000,52509
120000,3279
120000,223758
120000,103602
120000,2816
120000,70786
120000,28076
120000,3994
120000,113306
120000,4634
120000,78651
120000,3023
120000,2719
120000,128570
120000,8345
120000,90963
120000,2932
120000,57684
120000,2893
120000,123537
120000,3369
120000,86009
120000,2822
120000,55730
120000,4911
120000,120495
120000,5156
120000,1975
120000,2726
120000,152031
120000,31895
120000,3970
120000,199171
120000,79004
120000,3155
120000,146897
120000,26747
120000,3349
120000,91907
120000,2761
120000,56505
120000,2934
120000,4616
120000,88972
120000,2938
120000,52147
120000,2927
120000,120014
120000,2322
120000,81660
120000,3111
120000,48525
120000,3091
120000,218258
120000,98103
120000,3248
120000,62124
120000,3085
120000,74187
120000,3207
120000,4776
120000,77960
120000,3391
120000,146874
120000,26743
120000,5378
120000,193024
120000,72935
120000,2900
120000,139068
120000,18919
120000,3777
120000,86811
120000,2961
120000,52101
120000,3129
120000,218912
120000,98728
120000,2937
120000,61111
120000,2761
120000,133121
120000,12958
120000,94081
120000,5105
120000,65931
120000,2617
120000,124651
120000,4561
120000,193317
120000,73151
120000,2939
120000,80143
120000,5886
120000,206445
120000,86230
120000,2656
120000,47495
120000,3107
120000,117775
120000,2801
120000,80685
120000,2747
120000,54032
120000,2877
120000,215197
120000,95038
120000,2490
120000,161745
120000,41577
120000,2717
120000,108953
120000,5009
120000,3117
120000,5767
120000,141164
120000,21004
120000,3788
120000,88356
120000,6014
120000,154183
120000,34092
120000,3136
120000,99965
120000,6075
120000,66166
120000,3057
120000,132694
120000,12541
120000,202822
120000,82722
120000,2819
120000,41195
120000,3529
120000,112311
120000,3236
120000,73968
120000,3670
120000,142836
120000,22633
120000,2908
120000,86815
120000,3135
120000,154637
120000,34545
120000,2829
120000,98799
120000,2873
120000,64440
120000,8512
120000,45645
120000,2710
120000,197792
120000,77630
120000,2881
120000,145491
120000,25320
120000,2690
120000,193965
120000,73803
120000,4833
120000,140220
120000,20003
120000,2845
120000,88759
120000,3731
120000,51202
120000,9045
120000,118365
120000,2468
120000,80281
120000,2740
120000,46967
120000,2903
120000,114616
120000,3052
120000,77487
120000,2856
120000,44025
120000,2914
120000,110921
120000,2652
120000,73251
120000,3778
120000,143380
120000,23291
120000,3182
120000,87979
120000,2817
120000,49249
120000,4680
120000,117657
120000,2419
120000,185608
120000,65444
120000,2910
120000,131790
120000,11692
120000,97100
120000,3086
120000,164525
120000,44336
120000,5032
120000,114401
120000,2868
120000,73387
120000,3074
120000,141116
120000,21032
120000,3301
120000,88928
120000,3170
120000,60001
120000,3206
120000,120027
120000,2444
120000,186568
120000,66419
120000,3015
120000,2891
120000,118082
120000,3008
120000,81057
120000,2882
120000,250151
120000,130065
120000,9869
120000,92316
120000,2766
120000,162929
120000,42843
120000,19947
120000,2878
120000,89408
120000,3087
120000,158502
120000,38314
120000,3048
120000,102728
120000,2775
120000,171355
120000,51263
120000,3324
120000,118192
120000,3009
120000,78804
120000,2860
120000,148344
120000,28241
120000,2907
120000,94238
120000,2835
120000,2866
120000,2999
120000,125515
120000,5412
120000,196051
120000,75974
120000,3287
120000,142694
120000,22595
120000,3189
120000,88056
120000,5543
120000,3222
120000,6461
120000,119840
120000,2331
120000,80457
120000,3054
120000,47986
120000,2928
120000,217115
120000,96987
120000,4666
120000,163875
120000,43711
120000,2849
120000,108788
120000,3360
120000,73120
120000,2982
120000,140187
120000,20015
120000,3647
120000,86382
120000,3138
120000,49421
120000,4092
120000,117385
120000,2227
120000,82038
120000,3820
120000,47949
120000,3646
120000,221009
120000,100867
120000,4763
120000,59234
120000,2872
120000,128136
120000,7969
120000,91537
120000,3805
120000,57606
120000,3165
120000,126664
120000,6575
120000,85704
120000,2842
120000,51880
120000,4693
120000,119530
120000,2335
120000,84123
120000,5092
120000,48457
120000,4009
120000,217854
120000,97701
120000,5052
120000,4099
120000,96324
120000,2942
120000,2862
120000,96846
120000,3454
120000,56893
120000,3744
120000,126441
120000,6345
120000,87324
120000,3090
120000,155717
120000,35590
120000,3169
120000,101738
120000,5652
120000,69739
120000,3090
120000,133467
120000,13372
120000,96150
120000,4696
120000,64751
120000,3144
120000,129355
120000,9196
120000,202288
120000,82137
120000,2963
120000,40518
120000,3192
120000,212623
120000,92526
120000,3008
120000,52040
120000,2909
120000,119820
120000,2649
120000,83165
120000,2671
120000,50327
120000,2969
120000,224357
120000,104252
120000,2949
120000,62688
120000,3178
120000,131276
120000,11142
120000,96815
120000,3685
120000,64702
120000,3746
120000,126629
120000,6535
120000,91389
120000,2838
120000,55964
120000,2708
120000,122348
120000,3125
120000,191781
120000,71671
120000,3019
120000,138114
120000,18022
120000,100584
120000,2881
120000,169169
120000,49083
120000,3124
120000,218421
120000,98315
120000,2674
120000,63030
120000,2798
120000,131989
120000,11861
120000,93928
120000,2762
120000,160252
120000,40038
120000,4853
120000,106052
120000,2814
120000,71048
120000,5099
120000,138539
120000,18446
120000,5081
120000,86935
120000,5359
120000,48784
120000,2835
120000,219600
120000,99496
120000,4683
120000,2785
120000,150315
120000,30222
120000,3001
120000,96906
120000,2971
120000,56493
120000,2864
120000,126563
120000,6398
120000,88565
120000,2983
120000,155741
120000,35580
120000,5386
120000,103199
120000,4566
120000,66840
120000,4736
120000,137506
