interval,rtt
10000,3157
10000,2499
10000,4320
10000,2265
10000,2334
10000,2264
10000,2311
10000,2477
10000,3247
10000,2449
10000,2323
10000,2578
10000,2370
10000,3193
10000,2804
10000,2221
10000,2260
10000,2307
10000,4570
10000,2622
10000,2601
10000,2504
10000,2790
10000,2278
10000,2751
10000,2295
10000,2267
10000,2656
10000,3612
10000,3175
10000,2455
10000,1941
10000,1954
10000,2038
10000,3894
10000,2255
10000,2152
10000,2000
10000,1970
10000,2083
10000,2479
10000,2485
10000,2046
10000,2013
10000,2096
10000,2108
10000,2031
10000,2436
10000,2118
10000,2004
10000,1999
10000,2678
10000,2632
10000,2176
10000,1992
10000,2113
10000,7395
10000,1858
10000,3483
10000,2840
10000,2030
10000,2372
10000,2409
10000,2022
10000,1934
10000,2199
10000,2161
10000,2003
10000,1986
10000,4441
10000,2354
10000,2238
10000,2698
10000,2058
10000,2051
10000,2636
10000,2265
10000,2010
10000,1957
10000,2467
10000,2034
10000,1983
10000,2418
10000,2052
10000,1984
10000,4280
10000,2377
10000,2014
10000,3376
10000,2863
10000,5283
10000,1945
10000,1939
10000,1952
10000,1990
10000,2600
10000,3774
10000,2059
10000,2343
10000,1975
